city_code_external,city_name_local_language,city_name_English,province_code,province_name_local_language,province_name_English,ISO_country_code,country_name_local_language,country_name_English
451000000000,百色市,,450000000000,广西壮族自治区,,CN,中国,China
451100000000,贺州市,,450000000000,广西壮族自治区,,CN,中国,China
451200000000,河池市,,450000000000,广西壮族自治区,,CN,中国,China
451300000000,来宾市,,450000000000,广西壮族自治区,,CN,中国,China
451400000000,崇左市,,450000000000,广西壮族自治区,,CN,中国,China
460100000000,海口市,,460000000000,海南省,,CN,中国,China
460200000000,三亚市,,460000000000,海南省,,CN,中国,China
460300000000,三沙市,,460000000000,海南省,,CN,中国,China
460400000000,儋州市,,460000000000,海南省,,CN,中国,China
469001000000,五指山市,,460000000000,海南省,,CN,中国,China
469002000000,琼海市,,460000000000,海南省,,CN,中国,China
469005000000,文昌市,,460000000000,海南省,,CN,中国,China
469006000000,万宁市,,460000000000,海南省,,CN,中国,China
469007000000,东方市,,460000000000,海南省,,CN,中国,China
469021000000,定安县,,460000000000,海南省,,CN,中国,China
469022000000,屯昌县,,460000000000,海南省,,CN,中国,China
469023000000,澄迈县,,460000000000,海南省,,CN,中国,China
469024000000,临高县,,460000000000,海南省,,CN,中国,China
469025000000,白沙黎族自治县,,460000000000,海南省,,CN,中国,China
469026000000,昌江黎族自治县,,460000000000,海南省,,CN,中国,China
469027000000,乐东黎族自治县,,460000000000,海南省,,CN,中国,China
469028000000,陵水黎族自治县,,460000000000,海南省,,CN,中国,China
469029000000,保亭黎族苗族自治县,,460000000000,海南省,,CN,中国,China
469030000000,琼中黎族苗族自治县,,460000000000,海南省,,CN,中国,China
500000000000,重庆市,,500000000000,重庆市,,CN,中国,China
510100000000,成都市,,510000000000,四川省,,CN,中国,China
510300000000,自贡市,,510000000000,四川省,,CN,中国,China
510400000000,攀枝花市,,510000000000,四川省,,CN,中国,China
510500000000,泸州市,,510000000000,四川省,,CN,中国,China
510600000000,德阳市,,510000000000,四川省,,CN,中国,China
510700000000,绵阳市,,510000000000,四川省,,CN,中国,China
510800000000,广元市,,510000000000,四川省,,CN,中国,China
510900000000,遂宁市,,510000000000,四川省,,CN,中国,China
