TA_key,from_place,from_date,to_place,to_date,transportation_tools,etl_load_time
TRAVEL-1115247,SHA - 上海 - SHANGHAI , 2023-03-30 , KVN - 昆山 - KUNSHAN , 2023-03-30 , Train ,2023-11-07 09:49:06
TRAVEL-1115247,KVN - 昆山 - KUNSHAN , 2023-03-30 , SHA - 上海 - SHANGHAI , 2023-03-30 , Train ,2023-11-07 09:49:06
TRAVEL-1114688,SHA - 上海 - SHANGHAI , 2023-03-10 , HGH - 杭州 - HANGZHOU , 2023-03-10 , Train ,2023-11-07 09:49:06
TRAVEL-1119179,SHA - 上海 - SHANGHAI , 2023-04-10 , WUX - 无锡 - WUXI , 2023-04-10 , Train ,2023-11-07 09:49:06
TRAVEL-1119179,WUX - 无锡 - WUXI , 2023-04-12 , SHA - 上海 - SHANGHAI , 2023-04-12 , Train ,2023-11-07 09:49:06
TRAVEL-1115092,SHA - 上海 - SHANGHAI , 2023-03-21 , NKG - 南京 - NANJING , 2023-03-21 , Train ,2023-11-07 09:49:06
TRAVEL-1115092,Nanjing , 2023-03-23 , Shanghai , 2023-03-23 , Train ,2023-11-07 09:49:06
TRAVEL-1119367,SHE - 沈阳 - SHENYANG , 2023-04-06 , CN0388 - 葫芦岛 - HULUDAO , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1119367,CN0388 - 葫芦岛 - HULUDAO , 2023-04-07 , SHE - 沈阳 - SHENYANG , 2023-04-07 , Train ,2023-11-07 09:49:06
TRAVEL-1119369,SHA - 上海 - SHANGHAI , 2023-04-13 , TSN - 天津 - TIANJIN , 2023-04-13 , Plane ,2023-11-07 09:49:06
TRAVEL-1119369,TSN - 天津 - TIANJIN , 2023-04-14 , SHA - 上海 - SHANGHAI , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1119515,TAO - 青岛 - QINGDAO , 2023-04-06 , 1686 - 汶上（济宁） - WENSHANG , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1119515,汶上（济宁） - WENSHANG , 2023-04-08 , TAO - 青岛 - QINGDAO , 2023-04-08 , Train ,2023-11-07 09:49:06
TRAVEL-1119397,TNA - 济南 - JINAN , 2023-04-06 , JNG - 济宁 - JINING , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1119397,济宁 , 2023-04-07 , 临沂 , 2023-04-07 , Train ,2023-11-07 09:49:06
TRAVEL-1119397,临沂 , 2023-04-08 , 济南 , 2023-04-08 , Train ,2023-11-07 09:49:06
TRAVEL-1119406,SHA - 上海 - SHANGHAI , 2023-04-09 , CGO - 郑州 - ZHENGZHOU , 2023-04-09 , Train ,2023-11-07 09:49:06
TRAVEL-1119406,CGO - 郑州 - ZHENGZHOU , 2023-04-09 , SHA - 上海 - SHANGHAI , 2023-04-09 , Plane ,2023-11-07 09:49:06
TRAVEL-1115767,CKG - 重庆 - CHONGQING , 2023-04-10 , INC - 银川 - YINCHUAN , 2023-04-10 , Plane ,2023-11-07 09:49:06
TRAVEL-1115767,INC - 银川 - YINCHUAN , 2023-04-11 , LHW - 兰州 - LANZHOU , 2023-04-11 , Train ,2023-11-07 09:49:06
TRAVEL-1115767,LHW - 兰州 - LANZHOU , 2023-04-12 , CGO - 郑州 - ZHENGZHOU , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1115767,CGO - 郑州 - ZHENGZHOU , 2023-04-14 , CKG - 重庆 - CHONGQING , 2023-04-14 , Plane ,2023-11-07 09:49:06
TRAVEL-1115819,SHA - 上海 - SHANGHAI , 2023-03-25 , NKG - 南京 - NANJING , 2023-03-25 , Train ,2023-11-07 09:49:06
TRAVEL-1115819,NKG - 南京 - NANJING , 2023-03-25 , SHA - 上海 - SHANGHAI , 2023-03-25 , Train ,2023-11-07 09:49:06
TRAVEL-1119559,SHA - 上海 - SHANGHAI , 2023-04-10 , SZX - 深圳 - SHENZHEN , 2023-04-10 , Plane ,2023-11-07 09:49:06
TRAVEL-1119559,SZX - 深圳 - SHENZHEN , 2023-04-07 , SHA - 上海 - SHANGHAI , 2023-04-07 , Plane ,2023-11-07 09:49:06
TRAVEL-1119560,SZX - 深圳 - SHENZHEN , 2023-04-11 , HKG - 香港 - HONGKONG - HK - 中国香港 - CHINA HONGKONG , 2023-04-11 , Train ,2023-11-07 09:49:06
TRAVEL-1119560,HKG - 香港 - HONGKONG - HK - 中国香港 - CHINA HONGKONG , 2023-04-14 , SZX - 深圳 - SHENZHEN , 2023-04-14 , Train ,2023-11-07 09:49:06
TRAVEL-1119567,SHE - 沈阳 - SHENYANG , 2023-04-09 , SHA - 上海 - SHANGHAI , 2023-04-09 , Plane ,2023-11-07 09:49:06
TRAVEL-1119567,SHA - 上海 - SHANGHAI , 2023-04-12 , SHE - 沈阳 - SHENYANG , 2023-04-12 , Plane ,2023-11-07 09:49:06
TRAVEL-1115866,CTU - 成都 - CHENGDU , 2023-03-28 , SHA - 上海 - SHANGHAI , 2023-03-28 , Plane ,2023-11-07 09:49:06
TRAVEL-1115866,SHA - 上海 - SHANGHAI , 2023-03-29 , HGH - 杭州 - HANGZHOU , 2023-03-29 , Train ,2023-11-07 09:49:06
TRAVEL-1115866,HGH - 杭州 - HANGZHOU , 2023-03-30 , CTU - 成都 - CHENGDU , 2023-03-30 , Plane ,2023-11-07 09:49:06
TRAVEL-1117527,YNT - 烟台 - YANTAI , 2023-04-05 , SHA - 上海 - SHANGHAI , 2023-04-05 , Plane ,2023-11-07 09:49:06
TRAVEL-1117527,SHA - 上海 - SHANGHAI , 2023-04-08 , YNT - 烟台 - YANTAI , 2023-04-08 , Plane ,2023-11-07 09:49:06
TRAVEL-1145832,CN0241 - 镇江 - ZHENJIANG , 2023-06-19 , SHA - 上海 - SHANGHAI , 2023-06-19 , Train ,2023-11-07 09:49:06
TRAVEL-1145832,shanghai , 2023-06-21 , zhenjiang , 2023-06-21 , Train ,2023-11-07 09:49:06
TRAVEL-1117563,CAN - 广州 - GUANGZHOU , 2023-04-03 , SHA - 上海 - SHANGHAI , 2023-04-03 , Plane ,2023-11-07 09:49:06
TRAVEL-1114187,SHA - 上海 - SHANGHAI , 2023-04-03 , SZV - 苏州 - SUZHOU , 2023-04-03 , Private Car ,2023-11-07 09:49:06
TRAVEL-1114187,SZV - 苏州 - SUZHOU , 2023-04-04 , SHA - 上海 - SHANGHAI , 2023-04-04 , Private Car ,2023-11-07 09:49:06
TRAVEL-1115911,SHE - 沈阳 - SHENYANG , 2023-03-27 , HRB - 哈尔滨 - HAERBIN , 2023-03-27 , Train ,2023-11-07 09:49:06
TRAVEL-1115911,HRB - 哈尔滨 - HAERBIN , 2023-03-31 , SHE - 沈阳 - SHENYANG , 2023-03-31 , Train ,2023-11-07 09:49:06
TRAVEL-1115987,SHA - 上海 - SHANGHAI , 2023-03-28 , PEK - 北京 - BEIJING , 2023-03-28 , Plane ,2023-11-07 09:49:06
TRAVEL-1115987,PEK - 北京 - BEIJING , 2023-03-29 , SHA - 上海 - SHANGHAI , 2023-03-29 , Plane ,2023-11-07 09:49:06
TRAVEL-1118906,SHA - 上海 - SHANGHAI , 2023-09-25 , FKB - 卡尔斯鲁厄 - KARLSRUHE - DE - 德国 - GERMANY , 2023-09-25 , Plane ,2023-11-07 09:49:06
TRAVEL-1118906,FKB - 卡尔斯鲁厄 - KARLSRUHE - DE - 德国 - GERMANY , 2023-09-30 , SHA - 上海 - SHANGHAI , 2023-09-30 , Plane ,2023-11-07 09:49:06
TRAVEL-1115511,SHA - 上海 - SHANGHAI , 2023-04-03 , CSX - 长沙 - CHANGSHA , 2023-04-03 , Plane ,2023-11-07 09:49:06
TRAVEL-1115511,CSX - 长沙 - CHANGSHA , 2023-04-04 , SHA - 上海 - SHANGHAI , 2023-04-04 , Plane ,2023-11-07 09:49:06
TRAVEL-1116750,SHA - 上海 - SHANGHAI , 2023-03-28 , NKG - 南京 - NANJING , 2023-03-28 , Train ,2023-11-07 09:49:06
TRAVEL-1116750,nanjing , 2023-03-28 , shanghai , 2023-03-28 , Train ,2023-11-07 09:49:06
TRAVEL-1115077,SHA - 上海 - SHANGHAI , 2023-03-28 , NKG - 南京 - NANJING , 2023-03-28 , Train ,2023-11-07 09:49:06
TRAVEL-1115077,NKG - 南京 - NANJING , 2023-03-28 , PEK - 北京 - BEIJING , 2023-03-28 , Train ,2023-11-07 09:49:06
TRAVEL-1115077,PEK - 北京 - BEIJING , 2023-03-29 , SHA - 上海 - SHANGHAI , 2023-03-29 , Plane ,2023-11-07 09:49:06
TRAVEL-1116970,TNA - 济南 - JINAN , 2023-04-06 , SHA - 上海 - SHANGHAI , 2023-04-06 , Train ,2023-11-07 09:49:06
TRAVEL-1116970,SHA - 上海 - SHANGHAI , 2023-04-09 , TNA - 济南 - JINAN , 2023-04-09 , Train ,2023-11-07 09:49:06
TRAVEL-1116981,CN0450 - 顺德 - SHUNDE , 2023-03-29 , CAN - 广州 - GUANGZHOU , 2023-03-29 , Private Car ,2023-11-07 09:49:06
TRAVEL-1116981,CAN - 广州 - GUANGZHOU , 2023-03-29 , CN0450 - 顺德 - SHUNDE , 2023-03-29 , Private Car ,2023-11-07 09:49:06
TRAVEL-1115226,CTU - 成都 - CHENGDU , 2023-03-28 , CKG - 重庆 - CHONGQING , 2023-03-28 , Train ,2023-11-07 09:49:06
TRAVEL-1115226,CKG - 重庆 - CHONGQING , 2023-04-04 , CTU - 成都 - CHENGDU , 2023-04-04 , Train ,2023-11-07 09:49:06
TRAVEL-1115298,SHA - 上海 - SHANGHAI , 2023-03-27 , PEK - 北京 - BEIJING , 2023-03-27 , Plane ,2023-11-07 09:49:06
TRAVEL-1115298,PEK - 北京 - BEIJING , 2023-03-29 , SHA - 上海 - SHANGHAI , 2023-03-29 , Plane ,2023-11-07 09:49:06
