a,,,,,,,,(No column name),corder_type
2001173944001400 ,#N/A,,,,,,2001173991000180 ,2001173991000180 ,ZSO
2001173944001410 ,#N/A,,,,,,2001173991000190 ,2001173991000190 ,ZSO
2001173944001420 ,#N/A,,,,,,2001173991000350 ,2001173991000350 ,ZSO
2001173944001430 ,#N/A,,,,,,2001173991000370 ,2001173991000370 ,ZSO
2001173944001440 ,#N/A,,,,,,2001173991000690 ,2001173991000690 ,ZSO
2001173944001450 ,#N/A,,,,,,2001173991000740 ,2001173991000740 ,ZSO
2001173944001460 ,#N/A,,,,,,2001173991000750 ,2001173991000750 ,ZSO
2001173944001470 ,#N/A,,,,,,2001173991000760 ,2001173991000760 ,ZSO
2001173944001480 ,#N/A,,,,,,2001173991000770 ,2001173991000770 ,ZSO
2001173944001490 ,#N/A,,,,,,2001173991000780 ,2001173991000780 ,ZSO
2001173944001500 ,#N/A,,,,,,2001173991000790 ,2001173991000790 ,ZSO
2001173945000010 ,#N/A,,,,,,2001173991000800 ,2001173991000800 ,ZSO
2001173945000020 ,#N/A,,,,,,2001173991000810 ,2001173991000810 ,ZSO
2001173945000030 ,#N/A,,,,,,2001173991000820 ,2001173991000820 ,ZSO
2001173945000040 ,#N/A,,,,,,2001173991000830 ,2001173991000830 ,ZSO
2001173945000050 ,#N/A,,,,,,2001173991000840 ,2001173991000840 ,ZSO
2001173945000060 ,#N/A,,,,,,2001173991000850 ,2001173991000850 ,ZSO
2001173945000070 ,#N/A,,,,,,2001173991000860 ,2001173991000860 ,ZSO
2001173945000080 ,#N/A,,,,,,2001173991000870 ,2001173991000870 ,ZSO
2001173945000090 ,#N/A,,,,,,2001173991000880 ,2001173991000880 ,ZSO
2001173945000100 ,#N/A,,,,,,2001173991000890 ,2001173991000890 ,ZSO
2001173945000110 ,#N/A,,,,,,2001173991000900 ,2001173991000900 ,ZSO
2001173945000120 ,#N/A,,,,,,2001173991000910 ,2001173991000910 ,ZSO
2001173945000130 ,#N/A,,,,,,2001173991000920 ,2001173991000920 ,ZSO
2001173945000140 ,#N/A,,,,,,2001173991000930 ,2001173991000930 ,ZSO
2001173945000150 ,#N/A,,,,,,2001173991001020 ,2001173991001020 ,ZSO
2001173945000160 ,#N/A,,,,,,2001173991001030 ,2001173991001030 ,ZSO
2001173945000170 ,#N/A,,,,,,2001173991001040 ,2001173991001040 ,ZSO
2001173945000180 ,#N/A,,,,,,2001173991001050 ,2001173991001050 ,ZSO
2001173945000190 ,#N/A,,,,,,2001173991001060 ,2001173991001060 ,ZSO
2001173945000200 ,#N/A,,,,,,2001173991001070 ,2001173991001070 ,ZSO
2001173945000210 ,#N/A,,,,,,2001173991001080 ,2001173991001080 ,ZSO
2001173945000220 ,#N/A,,,,,,2001173991001090 ,2001173991001090 ,ZSO
2001173945000230 ,#N/A,,,,,,2001173991001100 ,2001173991001100 ,ZSO
2001173945000240 ,#N/A,,,,,,2001173991001110 ,2001173991001110 ,ZSO
2001173945000250 ,#N/A,,,,,,2001173991001120 ,2001173991001120 ,ZSO
2001173945000260 ,#N/A,,,,,,2001173991001130 ,2001173991001130 ,ZSO
2001173945000270 ,#N/A,,,,,,2001173991001140 ,2001173991001140 ,ZSO
2001173945000280 ,#N/A,,,,,,2001173991001150 ,2001173991001150 ,ZSO
2001173945000290 ,#N/A,,,,,,2001173991001160 ,2001173991001160 ,ZSO
2001173945000300 ,#N/A,,,,,,2001173991001170 ,2001173991001170 ,ZSO
2001173945000310 ,#N/A,,,,,,2001173991001180 ,2001173991001180 ,ZSO
2001173945000320 ,#N/A,,,,,,2001173991001190 ,2001173991001190 ,ZSO
2001173945000330 ,#N/A,,,,,,2001173991001200 ,2001173991001200 ,ZSO
2001173945000340 ,#N/A,,,,,,2001173991001560 ,2001173991001560 ,ZSO
2001173945000350 ,#N/A,,,,,,2070000889000010 ,2070000889000010 ,ZCA
2001173945000360 ,#N/A,,,,,,,,
2001173945000370 ,#N/A,,,,,,,,
2001173945000380 ,#N/A,,,,,,,,
2001173945000390 ,2001173945000390 ,,,,,,,,
2001173945000400 ,#N/A,,,,,,,,
2001173945000410 ,#N/A,,,,,,,,
2001173945000420 ,#N/A,,,,,,,,
2001173945000430 ,#N/A,,,,,,,,
2001173945000440 ,#N/A,,,,,,,,
2001173945000450 ,#N/A,,,,,,,,
2001173945000460 ,#N/A,,,,,,,,
2001173945000470 ,#N/A,,,,,,,,
2001173945000480 ,#N/A,,,,,,,,
2001173945000490 ,#N/A,,,,,,,,
2001173945000500 ,#N/A,,,,,,,,
2001173945000510 ,#N/A,,,,,,,,
2001173945000520 ,#N/A,,,,,,,,
2001173945000530 ,#N/A,,,,,,,,
2001173945000540 ,#N/A,,,,,,,,
2001173945000550 ,#N/A,,,,,,,,
2001173945000560 ,#N/A,,,,,,,,
2001173945000570 ,#N/A,,,,,,,,
2001173945000580 ,#N/A,,,,,,,,
2001173945000590 ,#N/A,,,,,,,,
2001173945000600 ,#N/A,,,,,,,,
2001173945000610 ,#N/A,,,,,,,,
2001173945000620 ,#N/A,,,,,,,,
2001173945000630 ,#N/A,,,,,,,,
2001173945000640 ,#N/A,,,,,,,,
2001173945000650 ,#N/A,,,,,,,,
2001173945000660 ,#N/A,,,,,,,,
2001173945000670 ,#N/A,,,,,,,,
